title,concept,weight,direction,content_type,topic_name,topic_order
jvariables1,ClassDefinition,1.0,outcome,question,Variables,10
jvariables1,PublicClassSpecifier,1.0,outcome,question,Variables,10
jvariables1,FormalMethodParameter,1.0,outcome,question,Variables,10
jvariables1,MethodDefinition,1.0,outcome,question,Variables,10
jvariables1,PublicMethodSpecifier,1.0,outcome,question,Variables,10
jvariables1,StaticMethodSpecifier,1.0,outcome,question,Variables,10
jvariables1,VoidDataType,1.0,outcome,question,Variables,10
jvariables1,IntDataType,1.0,outcome,question,Variables,10
jvariables1,SimpleAssignmentExpression,1.0,outcome,question,Variables,10
jvariables1,AddExpression,1.0,outcome,question,Variables,10
jvariables1,SubtractExpression,1.0,outcome,question,Variables,10
jvariables2,ClassDefinition,1.0,outcome,question,Variables,10
jvariables2,PublicClassSpecifier,1.0,outcome,question,Variables,10
jvariables2,FormalMethodParameter,1.0,outcome,question,Variables,10
jvariables2,MethodDefinition,1.0,outcome,question,Variables,10
jvariables2,PublicMethodSpecifier,1.0,outcome,question,Variables,10
jvariables2,StaticMethodSpecifier,1.0,outcome,question,Variables,10
jvariables2,VoidDataType,1.0,outcome,question,Variables,10
jvariables2,IntDataType,1.0,outcome,question,Variables,10
jvariables2,SimpleAssignmentExpression,1.0,outcome,question,Variables,10
jvariables2,MultiplyExpression,1.0,outcome,question,Variables,10
jvariables2,AddExpression,1.0,outcome,question,Variables,10
jint_long,ClassDefinition,1.0,outcome,question,Primitive_Data_Types,20
jint_long,PublicClassSpecifier,1.0,outcome,question,Primitive_Data_Types,20
jint_long,FormalMethodParameter,1.0,outcome,question,Primitive_Data_Types,20
jint_long,MethodDefinition,1.0,outcome,question,Primitive_Data_Types,20
jint_long,PublicMethodSpecifier,1.0,outcome,question,Primitive_Data_Types,20
jint_long,StaticMethodSpecifier,1.0,outcome,question,Primitive_Data_Types,20
jint_long,VoidDataType,1.0,outcome,question,Primitive_Data_Types,20
jint_long,DoubleDataType,1.0,outcome,question,Primitive_Data_Types,20
jint_long,SimpleAssignmentExpression,1.0,outcome,question,Primitive_Data_Types,20
jint_long,IntDataType,1.0,outcome,question,Primitive_Data_Types,20
jint_long,ExplicitTypeCasting,1.0,outcome,question,Primitive_Data_Types,20
jint_long,java.lang.Math.round,1.0,outcome,question,Primitive_Data_Types,20
jint_long,ActualMethodParameter,1.0,outcome,question,Primitive_Data_Types,20
jprint_var_express,ClassDefinition,1.0,outcome,question,Variables,10
jprint_var_express,PublicClassSpecifier,1.0,outcome,question,Variables,10
jprint_var_express,FormalMethodParameter,1.0,outcome,question,Variables,10
jprint_var_express,MethodDefinition,1.0,outcome,question,Variables,10
jprint_var_express,PublicMethodSpecifier,1.0,outcome,question,Variables,10
jprint_var_express,StaticMethodSpecifier,1.0,outcome,question,Variables,10
jprint_var_express,VoidDataType,1.0,outcome,question,Variables,10
jprint_var_express,IntDataType,1.0,outcome,question,Variables,10
jprint_var_express,SimpleAssignmentExpression,1.0,outcome,question,Variables,10
jprint_var_express,SubtractExpression,1.0,outcome,question,Variables,10
jprint_var_express,DivideExpression,1.0,outcome,question,Variables,10
jprint_var_express,java.lang.System.out.print,1.0,outcome,question,Variables,10
jprint_var_express,ActualMethodParameter,1.0,outcome,question,Variables,10
jmath2,ClassDefinition,1.0,outcome,question,Arithmetic_Operations,40
jmath2,PublicClassSpecifier,1.0,outcome,question,Arithmetic_Operations,40
jmath2,FormalMethodParameter,1.0,outcome,question,Arithmetic_Operations,40
jmath2,MethodDefinition,1.0,outcome,question,Arithmetic_Operations,40
jmath2,PublicMethodSpecifier,1.0,outcome,question,Arithmetic_Operations,40
jmath2,StaticMethodSpecifier,1.0,outcome,question,Arithmetic_Operations,40
jmath2,VoidDataType,1.0,outcome,question,Arithmetic_Operations,40
jmath2,IntDataType,1.0,outcome,question,Arithmetic_Operations,40
